Poste,Quartier,population
1,"West Island (Baie-D'Urfé, Beaconsfield, Kirkland, Sainte-Anne-de-Bellevue, Senneville)",49177
3,"L'Île-Bizard, Pierrefonds, Sainte-Geneviève, Roxboro",87710
4,Dollard-Des Ormeaux,48899
5,"Dorval, L'Île-Dorval, Pointe-Claire",50365
7,Saint-Laurent,98828
8,"Lachine, Saint-Pierre",44489
9,"Côte Saint-Luc, Hampstead, Montréal-Ouest",44471
10,"Bordeaux, Cartierville",50000
11,Notre-Dame-de-Grâce,67475
12,"Ville-Marie Ouest, Westmount",20312
13,LaSalle,76853
15,"Le Sud Ouest (Saint-Paul, Petite-Bourgogne, Pointe-Saint-Charles, Saint-Henri, Ville-Émard)",78151
16,"Île-des-Sœurs, Verdun",69229
20,"Centre-ville (Ville-Marie Ouest), parc du Mont-Royal",44585
21,"Centre-ville (Ville-Marie Est), île Notre-Dame, île Sainte-Hélène, Vieux-Montréal",44585
22,Centre-Sud,45545
23,Hochelaga-Maisonneuve,47835
26,"Côte-des-Neiges, Mont-Royal, Outremont",143275
27,Ahuntsic,76845
30,Saint-Michel,56425
31,Villeray,28775
33,Parc-Extension,59160
35,"La Petite-Italie, La Petite-Patrie, Outremont (3 rues)",50790
38,Le Plateau-Mont-Royal,104000
39,Arrondissement de Montréal-Nord,84234
42,Saint-Léonard,78305
44,Rosemont - La Petite-Patrie,88805
45,Rivière-des-Prairies,49848
46,Anjou,42796
48,Arrondissement de Mercier—Hochelaga-Maisonneuve,88190
49,"Ville de Montréal-Est, Pointe-aux-Trembles",56895
50,Métro de Montréal,
55,Aéroport international Pierre-Elliott-Trudeau de Montréal,
